timestamp,instrument_token,last_price,volume,sell_quantity,last_quantity,change,average_price , open,high,low,close ,depth_buy_price_0 ,depth_buy_orders_0 ,depth_buy_quantity_0 ,depth_sell_price_0 ,depth_sell_orders_0 ,depth_sell_quantity_0 ,depth_buy_price_1 ,depth_buy_orders_1 ,depth_buy_quantity_1 ,depth_sell_price_1 ,depth_sell_orders_1 ,depth_sell_quantity_1 ,depth_buy_price_2 ,depth_buy_orders_2 ,depth_buy_quantity_2 ,depth_sell_price_2 ,depth_sell_orders_2 ,depth_sell_quantity_2 ,depth_buy_price_3 ,depth_buy_orders_3 ,depth_buy_quantity_3 ,depth_sell_price_3 ,depth_sell_orders_3 ,depth_sell_quantity_3 ,depth_buy_price_4 ,depth_buy_orders_4 ,depth_buy_quantity_4 ,depth_sell_price_4 ,depth_sell_orders_4 ,depth_sell_quantity_4 
2017-06-20 07:35:05.284824,136519172,253.95,53611,63121,10,0.019692792438,253.84,254.0,254.95,253.1,253.9,253.7,3,1068,253.95,3,695,253.6,4,958,254.0,5,897,253.55,2,212,254.05,2,268,253.5,6,610,254.1,7,1107,253.45,4,737,254.15,3,532
2017-06-20 07:35:05.284898,340481,1637.2,1416334,187898,8,-1.0276870995,1639.52,1651.15,1660.0,1633.55,1654.2,1637.15,5,20,1637.2,7,322,1637.05,1,141,1637.25,3,16,1637.0,2,246,1637.3,2,15,1636.85,1,61,1637.4,1,14,1636.8,2,519,1637.5,1,179
2017-06-20 07:35:05.284931,5215745,253.8,538254,370374,15,-0.0590667454223,253.82,254.45,255.0,253.0,253.95,253.75,6,140,253.8,5,560,253.7,7,1097,253.85,1,34,253.65,3,451,253.9,8,1325,253.6,6,574,253.95,7,1393,253.55,4,1300,254.0,12,4442
2017-06-20 07:35:05.284960,558337,24855.75,10762,7807,1,-0.800595457838,24926.26,25100.0,25100.0,24765.0,25056.35,24855.75,2,2,24865.0,3,11,24850.55,1,2,24884.95,2,8,24850.5,1,4,24885.0,1,13,24850.1,1,3,24895.0,1,22,24850.0,1,1,24899.95,1,50
2017-06-20 07:35:05.284988,1850625,849.9,527008,129524,1,0.878338278932,849.37,845.0,851.9,843.0,842.5,849.6,1,22,849.9,2,47,849.4,1,58,849.95,1,1,849.35,1,16,850.0,2,1405,849.2,3,132,850.1,1,24,849.15,1,75,850.15,1,500
2017-06-20 07:35:05.285016,128046596,3802.4,6403,7473,6,-0.618130970583,3814.02,3830.0,3842.9,3799.2,3826.05,3800.05,2,20,3802.75,1,3,3800.0,1,86,3802.8,1,1,3799.5,1,86,3802.9,1,20,3799.2,1,1,3803.0,1,86,3799.0,1,10,3803.4,1,1
2017-06-20 07:35:05.285044,128178180,1098.7,10307,25065,1,0.301259813767,1096.15,1095.0,1100.0,1092.5,1095.4,1098.4,1,14,1099.45,1,8,1098.25,2,104,1099.5,1,87,1098.2,2,99,1099.6,1,13,1098.0,4,184,1099.7,1,42,1097.95,1,40,1099.75,1,87
2017-06-20 07:35:05.285071,129331204,28089.0,1451,444,2,-1.3209204286,28244.53,28450.0,28539.95,28054.05,28465.0,28070.1,1,1,28090.0,1,2,28070.05,1,3,28118.95,3,16,28070.0,2,14,28119.0,1,9,28067.55,1,3,28119.95,1,2,28066.35,2,6,28124.7,2,6
2017-06-20 07:35:05.285098,128108804,239.8,87646,167167,190,0.989682038324,239.49,237.5,241.3,236.65,237.45,239.7,5,1580,239.95,2,573,239.65,5,1288,240.0,3,639,239.6,3,371,240.05,1,175,239.55,3,768,240.1,5,518,239.5,5,661,240.15,1,132
